,word,times,percent
1414,half,358,0.035385704175513094
5407,barbeque,355,0.035089175928232255
3739,loaf,354,0.03499033317913865
1072,torn,353,0.03489149043004503
4007,concentrate,353,0.03489149043004503
2987,hearts,352,0.03479264768095142
2298,marshmallows,348,0.034397276684576976
2538,blue,347,0.03429843393548336
4740,fish,341,0.03370537744092169
4428,granules,340,0.033606534691828074
5484,recipe,336,0.03321116369545363
4374,wedges,331,0.03271694994998557
4658,coloring,330,0.032618107200891956
1160,low-fat,330,0.032618107200891956
2122,ranch,323,0.03192620795723667
3976,mango,323,0.03192620795723667
1914,artichoke,320,0.03162967970995584
2568,thighs,316,0.03123430871358139
2203,crabmeat,315,0.031135465964487775
4826,rolls,315,0.031135465964487775
1586,f/45,315,0.031135465964487775
148,slivered,314,0.031036623215394164
502,avocados,310,0.030641252219019716
3674,pickle,308,0.030443566720832493
3567,zested,308,0.030443566720832493
360,peaches,307,0.03034472397173888
1123,jigger,306,0.03024588122264527
976,steaks,305,0.030147038473551657
2429,undrained,303,0.029949352975364434
1336,stewed,300,0.029652824728083598
4097,tartar,299,0.029553981978989986
2748,cranberry,299,0.029553981978989986
4464,kernels,296,0.02925745373170915
3310,cottage,295,0.02915861098261554
4057,chiles,294,0.029059768233521924
1869,golden,291,0.02876323998624109
2127,shallots,290,0.028664397237147476
910,baked,290,0.028664397237147476
934,quick,287,0.02836786898986664
4613,buns,286,0.02826902624077303
3392,1,286,0.02826902624077303
2301,raw,284,0.028071340742585806
4746,low-sodium,284,0.028071340742585806
412,filling,284,0.028071340742585806
2249,raspberry,284,0.028071340742585806
4714,split,283,0.027972497993492194
382,fat,282,0.027873655244398582
3088,fat-free,282,0.027873655244398582
4980,granny,281,0.02777481249530497
3333,pizza,281,0.02777481249530497
639,smith,281,0.02777481249530497
4579,candy,280,0.027675969746211358
2645,unbaked,280,0.027675969746211358
2785,stems,279,0.027577126997117746
3267,mexican,279,0.027577126997117746
4481,elbow,278,0.027478284248024135
4946,fruit,278,0.027478284248024135
4867,maraschino,277,0.027379441498930523
837,horseradish,271,0.02678638500436885
2648,seedless,270,0.026687542255275237
250,tofu,269,0.026588699506181625
3562,sprouts,266,0.02629217125890079
3383,self-rising,266,0.02629217125890079
3503,yolk,265,0.026193328509807177
1599,1-inch,264,0.026094485760713566
2696,1/2-inch,263,0.025995643011619954
218,adobo,263,0.025995643011619954
1854,grain,262,0.025896800262526342
1474,tarragon,261,0.02579795751343273
